file,count
test_to_get_regression_train_data_12.csv,8910
test_to_get_regression_train_data_13.csv,7771
test_to_get_regression_train_data_14.csv,6961
test_to_get_regression_train_data_15.csv,6343
test_to_get_regression_train_data_16.csv,5562
test_to_get_regression_train_data_17.csv,5928
test_to_get_regression_train_data_18.csv,5620
test_to_get_regression_train_data_19.csv,4673
test_to_get_regression_train_data_2.csv,15759
test_to_get_regression_train_data_20.csv,4223
test_to_get_regression_train_data_3.csv,15180
test_to_get_regression_train_data_4.csv,14544
test_to_get_regression_train_data_5.csv,14557
test_to_get_regression_train_data_6.csv,12502
test_to_get_regression_train_data_7.csv,10403
test_to_get_regression_train_data_8.csv,8212
test_to_get_regression_train_data_9.csv,7790
train_to_get_constituent_methods_1.csv,941087
train_to_get_constituent_methods_10.csv,55021
train_to_get_constituent_methods_11.csv,47885
train_to_get_constituent_methods_12.csv,44384
train_to_get_constituent_methods_13.csv,42124
train_to_get_constituent_methods_14.csv,39083
train_to_get_constituent_methods_15.csv,35545
train_to_get_constituent_methods_16.csv,33142
train_to_get_constituent_methods_17.csv,30454
train_to_get_constituent_methods_18.csv,28676
train_to_get_constituent_methods_19.csv,27414
train_to_get_constituent_methods_2.csv,882153
train_to_get_constituent_methods_20.csv,26465
train_to_get_constituent_methods_3.csv,827467
train_to_get_constituent_methods_4.csv,748184
train_to_get_constituent_methods_5.csv,572426
train_to_get_constituent_methods_6.csv,512609
train_to_get_constituent_methods_7.csv,475606
train_to_get_constituent_methods_8.csv,223836
train_to_get_constituent_methods_9.csv,79727
train_to_get_regression_train_data_1.csv,920419
train_to_get_regression_train_data_10.csv,45615
train_to_get_regression_train_data_11.csv,38532
train_to_get_regression_train_data_12.csv,35474
train_to_get_regression_train_data_13.csv,34353
train_to_get_regression_train_data_14.csv,32122
train_to_get_regression_train_data_15.csv,29202
train_to_get_regression_train_data_16.csv,27580
train_to_get_regression_train_data_17.csv,24526
train_to_get_regression_train_data_18.csv,23056
train_to_get_regression_train_data_19.csv,22741
train_to_get_regression_train_data_2.csv,866394
train_to_get_regression_train_data_20.csv,22242
train_to_get_regression_train_data_3.csv,812287
train_to_get_regression_train_data_4.csv,733640
train_to_get_regression_train_data_5.csv,557869
train_to_get_regression_train_data_6.csv,500107
train_to_get_regression_train_data_7.csv,465203
train_to_get_regression_train_data_8.csv,215624
train_to_get_regression_train_data_9.csv,71937
full\window_1.csv,955631
full\window_2.csv,896710
full\window_3.csv,839965
full\window_4.csv,758587
full\window_5.csv,580638
full\window_6.csv,520399
full\window_7.csv,485012
full\window_8.csv,233189
full\window_9.csv,88637
full\window_10.csv,62792
full\window_11.csv,54842
full\window_12.csv,50727
full\window_13.csv,47686
full\window_14.csv,45011
full\window_15.csv,41177
full\window_16.csv,37812
full\window_17.csv,34679
full\window_18.csv,32730
full\window_19.csv,32247
full\window_20.csv,31143
